;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
2667;NA;13.53;13.53;15.69;15.12;19;1739 A1_1_19
2668;12.5;12.5;17.72;22.82;21.29;20;1739 A1_1_20
2669;NA;12.45;12.45;14.42;14.05;21.1;1739 A1_1_21.1
2670;NA;9.91;9.91;11.86;11.86;21.2;1739 A1_1_21.2
2671;NA;16.86;16.86;20.91;19.6;22;1739 A1_1_22
2672;NA;13.42;13.42;15.55;15;24;1739 A1_1_24
2673;NA;16.96;16.96;21.11;19.77;25;1739 A1_1_25
2674;14.5;14.5;17.72;22.82;21.29;26;1739 A1_1_26
2675;NA;16.71;16.71;20.6;19.33;28.1;1739 A1_1_28.1
2676;NA;13.42;13.42;15.55;15;28.2;1739 A1_1_28.2
2677;NA;14.15;14.15;16.49;15.8;29;1739 A1_1_29
2678;NA;15.16;15.16;17.93;17.02;30;1739 A1_1_30
2679;15;15;16.86;20.91;19.6;31;1739 A1_1_31
2680;13.5;13.5;15.78;18.92;17.87;32;1739 A1_1_32
2681;NA;16.76;16.76;20.7;19.42;33;1739 A1_1_33
2682;NA;16.17;16.17;19.59;18.45;34;1739 A1_1_34
2683;NA;17.9;17.9;23.26;21.69;35;1739 A1_1_35
2684;NA;13.85;13.85;16.09;15.46;36.1;1739 A1_1_36.1
2685;NA;9.54;9.54;11.52;11.57;36.2;1739 A1_1_36.2
2686;NA;14.34;14.34;16.75;16.02;37;1739 A1_1_37
2687;NA;17.88;17.88;23.22;21.65;38;1739 A1_1_38
2688;NA;16.46;16.46;20.13;18.92;39;1739 A1_1_39
2689;10.5;10.5;11.84;13.76;13.48;40;1739 A1_1_40
2690;12;12;17.1;21.41;20.03;41;1739 A1_1_41
2691;NA;15.81;15.81;18.98;17.92;42;1739 A1_1_42
2692;NA;14.7;14.7;17.25;16.45;43;1739 A1_1_43
2693;NA;18.09;18.09;23.73;22.13;44;1739 A1_1_44
2694;NA;14.79;14.79;17.38;16.55;45;1739 A1_1_45
2695;NA;13.02;13.02;15.07;14.59;47;1739 A1_1_47
2696;12;12;15.71;18.81;17.8;1;1739 A1_2_1
2697;NA;16.65;16.65;20.5;19.26;2;1739 A1_2_2
2698;NA;12.12;12.12;14.06;13.76;3.1;1739 A1_2_3.1
2699;NA;5.76;5.76;8.39;8.83;3.2;1739 A1_2_3.2
2700;NA;8.65;8.65;10.74;10.91;4;1739 A1_2_4
2701;9;9;11.17;13.07;12.91;5;1739 A1_2_5
2702;7.5;7.5;5.64;8.29;8.74;6;1739 A1_2_6
2703;NA;13.53;13.53;15.69;15.14;7.1;1739 A1_2_7.1
2704;NA;8.54;8.54;10.65;10.83;7.2;1739 A1_2_7.2
2705;NA;17.67;17.67;22.68;21.2;8;1739 A1_2_8
2706;9;9;7.45;9.74;10.04;9;1739 A1_2_9
2707;NA;17.28;17.28;21.79;20.41;10;1739 A1_2_10
2708;10;10;15.78;18.92;17.9;11;1739 A1_2_11
2709;11;11;16.86;20.91;19.62;12;1739 A1_2_12
2710;NA;16.26;16.26;19.75;18.62;13;1739 A1_2_13
2711;10.5;10.5;15.85;19.03;18;14;1739 A1_2_14
2712;11;11;12.19;14.13;13.82;15;1739 A1_2_15
2713;10.75;10.75;14.1;16.42;15.76;16;1739 A1_2_16
2714;NA;13.74;13.74;15.96;15.37;17;1739 A1_2_17
2715;12.25;12.25;15.88;19.09;18.05;18;1739 A1_2_18
2716;11.5;11.5;16.2;19.64;18.52;19;1739 A1_2_19
2717;NA;8.85;8.85;10.92;11.06;21;1739 A1_2_21
2718;NA;15.2;15.2;17.99;17.1;22;1739 A1_2_22
2719;NA;14.52;14.52;17;16.26;23;1739 A1_2_23
2720;10.5;10.5;16.14;19.54;18.43;24;1739 A1_2_24
2721;NA;13.95;13.95;16.22;15.6;25;1739 A1_2_25
2722;NA;15.64;15.64;18.69;17.7;26;1739 A1_2_26
2723;NA;18.31;18.31;24.36;22.73;27;1739 A1_2_27
2724;NA;14.96;14.96;17.62;16.79;28.1;1739 A1_2_28.1
2725;NA;10.85;10.85;12.75;12.64;28.2;1739 A1_2_28.2
2726;NA;8.23;8.23;10.38;10.6;28.3;1739 A1_2_28.3
2727;NA;16.17;16.17;19.59;18.48;29;1739 A1_2_29
2728;NA;16.98;16.98;21.16;19.85;30.1;1739 A1_2_30.1
2729;NA;13.19;13.19;15.28;14.79;30.2;1739 A1_2_30.2
2730;10.5;10.5;12.9;14.92;14.49;31.1;1739 A1_2_31.1
2731;NA;7.45;7.45;9.74;10.04;31.2;1739 A1_2_31.2
2732;12;12;16.96;21.11;19.8;32;1739 A1_2_32
2733;10.5;10.5;15.95;19.2;18.14;33;1739 A1_2_33
2734;11;11;15.24;18.05;17.15;35;1739 A1_2_35
2735;NA;8.95;8.95;11;11.14;38;1739 A1_2_38
2736;NA;15.46;15.46;18.4;17.45;39;1739 A1_2_39
2737;NA;9.72;9.72;11.69;11.73;40;1739 A1_2_40
2738;NA;10.52;10.52;12.43;12.37;41.1;1739 A1_2_41.1
2739;NA;9.34;9.34;11.35;11.44;41.2;1739 A1_2_41.2
2740;NA;6.14;6.14;8.69;9.1;42;1739 A1_2_42
2741;NA;11.55;11.55;13.45;13.24;43;1739 A1_2_43
2742;NA;13.02;13.02;15.07;14.61;45;1739 A1_2_45
2743;12.5;12.5;16.96;21.11;19.8;46;1739 A1_2_46
2744;NA;12.26;12.26;14.2;13.88;47;1739 A1_2_47
2745;NA;16.07;16.07;19.43;18.33;48.1;1739 A1_2_48.1
2746;NA;15.95;15.95;19.2;18.14;48.2;1739 A1_2_48.2
2747;NA;18.85;18.85;25.97;24.26;49.1;1739 A1_2_49.1
2748;NA;14.1;14.1;16.42;15.76;50;1739 A1_2_50
2749;NA;15.61;15.61;18.63;17.65;51;1739 A1_2_51
2750;NA;7.68;7.68;9.93;10.2;52;1739 A1_2_52
2751;NA;13.25;13.25;15.35;14.85;53;1739 A1_2_53
2752;NA;17.03;17.03;21.26;19.93;54;1739 A1_2_54
2753;NA;11.48;11.48;13.38;13.18;55;1739 A1_2_55
2754;NA;16.41;16.41;20.02;18.85;56;1739 A1_2_56
2755;NA;15.88;15.88;19.09;18.05;57.1;1739 A1_2_57.1
2756;NA;14.57;14.57;17.06;16.31;57.2;1739 A1_2_57.2
2757;NA;15.71;15.71;18.81;17.8;58;1739 A1_2_58
2758;NA;11.48;11.48;13.38;13.18;59;1739 A1_2_59
2759;NA;18.29;18.29;24.27;22.66;60;1739 A1_2_60
2760;NA;13.13;13.13;15.21;14.73;61.1;1739 A1_2_61.1
2761;NA;12.52;12.52;14.5;14.13;61.2;1739 A1_2_61.2
2762;NA;17.19;17.19;21.6;20.24;62;1739 A1_2_62
2763;NA;17.59;17.59;22.5;21.04;63;1739 A1_2_63
2764;NA;10.17;10.17;12.1;12.09;64.1;1739 A1_2_64.1
2765;NA;17.49;17.49;22.27;20.83;65;1739 A1_2_65
2766;NA;15.71;15.71;18.81;17.8;66;1739 A1_2_66
2767;NA;11.91;11.91;13.83;13.57;67;1739 A1_2_67
2768;NA;16.46;16.46;20.13;18.94;68;1739 A1_2_68
2769;NA;11.17;11.17;13.07;11.49;1;5201 A1_003BAG_1
2770;13;13;13.19;15.28;13.16;2;5201 A1_003BAG_2
2771;12.5;12.5;15.85;19.03;16.01;3;5201 A1_003BAG_3
