;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
4016;3.5;3.5;3.74;7.77;7.99;47;0500 D2_053IAL_47
4017;NA;3.88;3.88;7.98;8.18;48;0500 D2_053IAL_48
4018;4.25;4.25;5.66;10.38;10.24;49;0500 D2_053IAL_49
4019;3.75;3.75;3.81;7.88;8.09;50;0500 D2_053IAL_50
4020;4.5;4.5;5.03;9.56;9.54;51;0500 D2_053IAL_51
4021;NA;3.52;3.52;7.46;7.72;53;0500 D2_053IAL_53
4022;NA;6.54;6.54;11.52;11.19;55;0500 D2_053IAL_55
4023;NA;5.93;5.93;10.74;10.54;56;0500 D2_053IAL_56
4024;NA;4.39;4.39;8.69;8.79;57;0500 D2_053IAL_57
4025;NA;6.48;6.48;11.43;11.12;58;0500 D2_053IAL_58
4026;NA;5.45;5.45;10.11;10.01;59;0500 D2_053IAL_59
4027;NA;5.66;5.66;10.38;10.24;60;0500 D2_053IAL_60
4028;NA;5.1;5.1;9.65;9.62;61;0500 D2_053IAL_61
4029;NA;4.25;4.25;8.49;8.62;62;0500 D2_053IAL_62
4030;NA;4.32;4.32;8.59;8.71;63.1;0500 D2_053IAL_63.1
4031;NA;4.1;4.1;8.29;8.44;63.2;0500 D2_053IAL_63.2
4032;NA;4.53;4.53;8.88;8.96;64;0500 D2_053IAL_64
4033;5;5;4.89;9.37;9.38;66;0500 D2_053IAL_66
4034;6;6;7.27;12.43;11.95;67;0500 D2_053IAL_67
4035;5.75;5.75;7.07;12.19;11.75;68;0500 D2_053IAL_68
4036;NA;6;6;10.83;10.62;69;0500 D2_053IAL_69
4037;NA;4.39;4.39;8.69;8.79;70;0500 D2_053IAL_70
4038;NA;3.81;3.81;7.88;8.09;71;0500 D2_053IAL_71
4039;4;4;5.38;10.02;9.93;72;0500 D2_053IAL_72
4040;NA;15.65;15.65;21.75;19.86;1;0501 A2_1_1
4041;NA;12;12;17.93;16.63;2;0501 A2_1_2
4042;NA;12.81;12.81;18.81;17.36;3;0501 A2_1_3
4043;12;12;14.97;21.06;19.27;4;0501 A2_1_4
4044;NA;13.34;13.34;19.37;17.83;5;0501 A2_1_5
4045;NA;11.27;11.27;17.13;15.96;6;0501 A2_1_6
4046;NA;12.81;12.81;18.81;17.36;7;0501 A2_1_7
4047;13;13;10.47;16.22;15.21;8;0501 A2_1_8
4048;10.5;10.5;14.27;20.34;18.66;9;0501 A2_1_9
4049;NA;13.7;13.7;19.75;18.16;10;0501 A2_1_10
4050;NA;14.01;14.01;20.08;18.43;11;0501 A2_1_11
4051;NA;12.43;12.43;18.4;17.02;12;0501 A2_1_12
4052;NA;13.5;13.5;19.54;17.97;13;0501 A2_1_13
4053;NA;13.08;13.08;19.09;17.6;14;0501 A2_1_14
4054;NA;10.82;10.82;16.62;15.54;15;0501 A2_1_15
4055;NA;13.13;13.13;19.15;17.65;16;0501 A2_1_16
4056;NA;10.93;10.93;16.75;15.64;17;0501 A2_1_17
